iter	Passed	Remaining
967	13989	462
968	14002	447
969	14015	433
970	14029	419
971	14043	404
972	14058	390
973	14072	375
974	14085	361
975	14099	346
976	14113	332
977	14126	317
978	14140	303
979	14154	288
980	14167	274
981	14181	259
982	14194	245
983	14209	231
984	14222	216
985	14236	202
986	14250	187
987	14265	173
988	14278	158
989	14291	144
990	14304	129
991	14318	115
992	14332	101
993	14345	86
994	14359	72
995	14373	57
996	14388	43
997	14401	28
998	14415	14
999	14429	0
